标题,发布时间,详情页链接,项目编号,项目名称,预算金额,采购需求,提交投标文件截止时间,项目联系人,电话,采购人名称,采购人地址,相关度评分,判断理由,地区,项目类型,预算规模,核心产品,潜在机会,跟进建议
吴忠市人民医院2025年第二批医疗器械设备更新补充采购项目四标段（四次）中标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260410_26388252.htm,NXWF-2025-104,吴忠市人民医院2025年第二批医疗器械设备更新补充采购项目四标段（四次）,,,,张信业,9532120233,吴忠市人民医院,吴忠市利通区新民路 143 号,4,项目为医疗器械设备更新，但未明确具体设备类型，可能与施耐德产品相关度不高。,宁夏回族自治区吴忠市,设备采购,未知,医疗器械设备（未明确具体类型）,若涉及大型医疗影像、实验室或生命支持设备，可能存在配套配电或楼宇自控需求。,联系项目联系人，核实具体采购设备清单，寻找电气配套机会。
游仙高新技术产业园区管理委员会聚合物新材料、放射治疗医疗器械产业专利导航竞争性磋商公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202604/t20260410_26387714.htm,N5107042026000024,聚合物新材料、放射治疗医疗器械产业专利导航,¥30.00 万元,详见采购需求附件,,何老师,0816-2308726,游仙高新技术产业园区管理委员会,四川省绵阳市游仙经济开发区凯越路1号,4,项目为专利导航服务采购，非设备或基建，与施耐德电气核心业务直接关联度低。,四川省绵阳市,服务,小额(<100万),无,无直接机会。可关注园区后续产业落地带来的潜在基建或设备需求。,无需直接跟进。可关注该园区后续产业项目动态。
清河县人民医院清河县人民医院国家药物和医疗器械临床试验机构服务项目二次公开招标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26387473.htm,2026CK-012,清河县人民医院国家药物和医疗器械临床试验机构服务项目,¥78.00 万元,国家药物和医疗器械临床试验机构服务，具体内容详见招标文件第四部分采购需求,2026年05月07日 09点00分（北京时间）,陈利、贾凯,0319-2686159。6.招标文件等资料发布后 / 即视为已送达所有潜在投标人。潜在投标人从“清河县公共资源交易网 / ”网站上自主下载招标文件等相关资料 / 并及时查看有无澄清或修改。如对招标文件有疑问或异议的 / 请向项目单位或招标代理机构提出。潜在投标人未从“ / 中国河北政府采购网 / ”“清河县公共资源交易网 / ”网站上下载相关资料 / 或未获取完整资料 / 导致投标被否决的 / 自行承担责任。招标文件的澄清 / 修改 / 补充等内容均以公告形式明确的内容为准。当招标文件 / 招标文件的澄清 / 修改 / 补充等在同一内容的表述上不一致时 / 以最后发出的公告文件为准。,清河县人民医院,清河县长江西街37号,4,项目为临床试验机构服务，非设备采购，与施耐德核心业务直接关联度低。,河北省邢台市清河县,服务,中等(100-500万),无,临床试验机构建设可能涉及实验室环境控制或信息化，但机会不明确。,可关注医院后续基建或实验室设备采购项目，保持联系。
【平公资采2026230号】郏县妇幼保健院2026年第一季度医疗器械采购项目（包1）-中标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260410_26387285.htm,郏采,郏县妇幼保健院2026年第一季度医疗器械采购项目,,,,王先生,0375-5152805监督单位：郏县卫生健康委员会 / 统一社会信用代码：114104250054922277 / 联系方式：0375-7068010,郏县妇幼保健院,郏县行政路,4,项目为医疗器械采购，但未明确具体设备类型，可能与施耐德电气产品相关度不高。,河南省平顶山市郏县,设备采购,未知,医疗器械（未明确具体类型）,若涉及大型医疗设备或实验室设备，可能存在配套配电或楼宇控制需求。,联系采购人，了解具体采购设备类型，判断是否存在电气配套机会。
【平公资采2026230号】郏县妇幼保健院2026年第一季度医疗器械采购项目（包2）-中标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260410_26387267.htm,郏采,郏县妇幼保健院2026年第一季度医疗器械采购项目,,,,王先生,0375-5152805监督单位：郏县卫生健康委员会 / 统一社会信用代码：114104250054922277 / 联系方式：0375-7068010,郏县妇幼保健院,郏县行政路,4,公告为医疗器械采购，但未明确具体设备类型，可能与施耐德产品直接相关度不高。,河南省平顶山市郏县,设备采购,未知,无,若采购大型医疗设备或涉及医院设施改造，可提供配套配电或楼宇控制方案。,联系采购人了解具体设备清单，评估是否有配套电气需求。
三都水族自治县人民医院关于三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目C包二次的公开招标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26385283.htm,GZWS-2025-6055-01,三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目C包二次,¥776.76 万元,标项名称: 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目C包二次 数量: 不限 预算金额（元）: 7767615.75 简要规格描述或项目基本概况介绍、用途： 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购C包二次，具体详见《采购文件》。 备注： 合同履约期限： 标项 1，1年。 本项目（ 否 ）接受联合体投标。,2026年04月30日 09:30,彭燕燕、唐昊、杨奇爽,15608540885,三都水族自治县人民医院,三都县三合街道,4,项目为医用耗材和医疗器械采购，未明确涉及电气或自动化设备，机会不明确。,贵州省黔南布依族苗族自治州三都水族自治县,耗材采购,大额(>500万),无,无,可尝试联系采购人，了解是否有配套配电或能源管理需求。
山东省妇幼保健院2026年医疗器械、手术敷料、医用织物代洗涤、消毒、灭菌及供应服务项目(3)公开招标公告,2026.04.11,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260411_26391301.htm,,山东省妇幼保健院2026年医疗器械、手术敷料、医用织物代洗涤、消毒、灭菌及供应服务项目(3),¥500.00 万元,,2026年05月07日09时00分,杨学安、洪坤、贾振、侯同旦、孙涛、徐艳,13386406562,山东省妇幼保健院,济南市浆水泉路9-7号(山东省妇幼保健院),4,项目为医用织物洗涤消毒服务，不涉及电气设备或系统采购，机会不明确。,山东省济南市,服务,中等(100-500万),无,服务设施（如洗涤中心）的配电或楼宇自动化系统,了解医院是否有相关设施新建或改造计划，评估潜在需求。
吴忠市人民医院2025年第二批医疗器械设备更新补充采购项目四标段（四次）中标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260410_26388252.htm,NXWF-2025-104,吴忠市人民医院2025年第二批医疗器械设备更新补充采购项目四标段（四次）,,,,张信业,9532120233,吴忠市人民医院,吴忠市利通区新民路 143 号,4,公告为医疗器械设备采购，但未明确具体设备类型，与施耐德电气核心业务直接相关度低。,宁夏回族自治区吴忠市,设备采购,未知,无,若采购大型医疗影像或实验室设备，可关注其配套的配电、UPS或楼宇控制系统需求。,联系项目联系人，了解具体采购设备清单，判断是否有配套电气需求。
游仙高新技术产业园区管理委员会聚合物新材料、放射治疗医疗器械产业专利导航竞争性磋商公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202604/t20260410_26387714.htm,N5107042026000024,聚合物新材料、放射治疗医疗器械产业专利导航,¥30.00 万元,详见采购需求附件,,何老师,0816-2308726,游仙高新技术产业园区管理委员会,四川省绵阳市游仙经济开发区凯越路1号,4,项目为专利导航服务采购，非设备或工程采购，与施耐德电气直接业务关联度低。,四川省绵阳市,服务,小额(<100万),无,无直接机会。可关注后续园区内可能产生的基建或设备采购项目。,无需直接跟进。可记录信息，关注该园区后续动态。
清河县人民医院清河县人民医院国家药物和医疗器械临床试验机构服务项目二次公开招标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26387473.htm,2026CK-012,清河县人民医院国家药物和医疗器械临床试验机构服务项目,¥78.00 万元,国家药物和医疗器械临床试验机构服务，具体内容详见招标文件第四部分采购需求,2026年05月07日 09点00分（北京时间）,陈利、贾凯,0319-2686159。6.招标文件等资料发布后 / 即视为已送达所有潜在投标人。潜在投标人从“清河县公共资源交易网 / ”网站上自主下载招标文件等相关资料 / 并及时查看有无澄清或修改。如对招标文件有疑问或异议的 / 请向项目单位或招标代理机构提出。潜在投标人未从“ / 中国河北政府采购网 / ”“清河县公共资源交易网 / ”网站上下载相关资料 / 或未获取完整资料 / 导致投标被否决的 / 自行承担责任。招标文件的澄清 / 修改 / 补充等内容均以公告形式明确的内容为准。当招标文件 / 招标文件的澄清 / 修改 / 补充等在同一内容的表述上不一致时 / 以最后发出的公告文件为准。,清河县人民医院,清河县长江西街37号,4,项目为临床试验机构服务，非设备采购，与施耐德核心业务关联度低。,河北省邢台市清河县,服务,中等(100-500万),无,临床试验机构建设可能涉及实验室环境控制或弱电系统。,可联系采购人，了解服务项目中是否包含相关设施建设需求。
【平公资采2026230号】郏县妇幼保健院2026年第一季度医疗器械采购项目（包1）-中标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260410_26387285.htm,郏采,郏县妇幼保健院2026年第一季度医疗器械采购项目,,,,王先生,0375-5152805监督单位：郏县卫生健康委员会 / 统一社会信用代码：114104250054922277 / 联系方式：0375-7068010,郏县妇幼保健院,郏县行政路,4,项目为医疗器械采购，但未明确涉及电气或基建，机会不明确。,河南省平顶山市郏县,设备采购,未知,医疗器械,无明确信息，需进一步核实采购设备是否涉及配电或环境控制。,联系采购人，了解具体采购设备清单，寻找潜在电气配套需求。
【平公资采2026230号】郏县妇幼保健院2026年第一季度医疗器械采购项目（包2）-中标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260410_26387267.htm,郏采,郏县妇幼保健院2026年第一季度医疗器械采购项目,,,,王先生,0375-5152805监督单位：郏县卫生健康委员会 / 统一社会信用代码：114104250054922277 / 联系方式：0375-7068010,郏县妇幼保健院,郏县行政路,4,公告为医疗器械采购，但未明确具体设备类型，可能与施耐德产品直接相关度低。,河南省平顶山市郏县,设备采购,未知,医疗器械（具体类型未知）,若采购大型医疗影像设备或实验室设备，可提供配套的配电、UPS或楼宇控制系统。,联系采购人了解具体设备清单，评估配套电气需求。
三都水族自治县人民医院关于三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次的公开招标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26385666.htm,GZWS-2025-6055-3,三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次,¥50.62 万元,标项一 标项名称: 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包三次 数量: 不限 预算金额（元）: 267664.6 简要规格描述或项目基本概况介绍、用途： 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次，具体详见《采购文件》。 备注： 标项二 标项名称: 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目D包三次 数量: 不限 预算金额（元）: 23599.6 简要规格描述或项目基本概况介绍、用途： 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次，具体详见《采购文件》。 备注： 标项三 标项名称: 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目G包三次 数量: 不限 预算金额（元）: 214952.03 简要规格描述或项目基本概况介绍、用途： 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次，具体详见《采购文件》。 备注： 合同履约期限： 标项 1、2、3，1年。 本项目（ 否 ）接受联合体投标。,2026年04月30日 09:30,彭燕燕、唐昊、杨奇爽,15608540885,三都水族自治县人民医院,三都县三合街道,4,项目为医用耗材和医疗器械采购，未明确涉及施耐德电气的核心业务领域。,贵州省黔南布依族苗族自治州三都水族自治县,耗材采购,小额(<100万),无,无,可关注采购文件中是否有配套设备或基建需求。
三都水族自治县人民医院关于三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目C包二次的公开招标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26385283.htm,GZWS-2025-6055-01,三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目C包二次,¥776.76 万元,标项名称: 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目C包二次 数量: 不限 预算金额（元）: 7767615.75 简要规格描述或项目基本概况介绍、用途： 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购C包二次，具体详见《采购文件》。 备注： 合同履约期限： 标项 1，1年。 本项目（ 否 ）接受联合体投标。,2026年04月30日 09:30,彭燕燕、唐昊、杨奇爽,15608540885,三都水族自治县人民医院,三都县三合街道,4,项目为医用耗材和医疗器械采购，未明确涉及施耐德电气核心业务领域。,贵州省黔南布依族苗族自治州三都水族自治县,耗材采购,大额(>500万),无,无明确切入点,可尝试联系采购方，了解是否有配套电气或楼宇控制需求。
吴忠市人民医院2025年第二批医疗器械设备更新补充采购项目四标段（四次）中标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260410_26388252.htm,NXWF-2025-104,吴忠市人民医院2025年第二批医疗器械设备更新补充采购项目四标段（四次）,,,,张信业,9532120233,吴忠市人民医院,吴忠市利通区新民路 143 号,4,公告为医疗器械设备采购，但未明确具体设备类型，与施耐德电气核心业务关联度不明确。,宁夏回族自治区吴忠市,设备采购,未知,无,若涉及大型医疗影像设备或实验室设备，可能存在配套配电需求。,联系项目联系人，核实具体采购设备清单，寻找配电或能效管理机会。
游仙高新技术产业园区管理委员会聚合物新材料、放射治疗医疗器械产业专利导航竞争性磋商公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202604/t20260410_26387714.htm,N5107042026000024,聚合物新材料、放射治疗医疗器械产业专利导航,¥30.00 万元,详见采购需求附件,,何老师,0816-2308726,游仙高新技术产业园区管理委员会,四川省绵阳市游仙经济开发区凯越路1号,4,项目为专利导航服务采购，非设备或工程采购，与施耐德电气核心业务直接关联度低。,四川省绵阳市,服务,小额(<100万),无,无明确直接机会。可关注后续园区内企业可能的设备或基建需求。,可关注该园区后续产业落地可能带来的基建或设备采购机会。
清河县人民医院清河县人民医院国家药物和医疗器械临床试验机构服务项目二次公开招标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26387473.htm,2026CK-012,清河县人民医院国家药物和医疗器械临床试验机构服务项目,¥78.00 万元,国家药物和医疗器械临床试验机构服务，具体内容详见招标文件第四部分采购需求,2026年05月07日 09点00分（北京时间）,陈利、贾凯,0319-2686159。6.招标文件等资料发布后 / 即视为已送达所有潜在投标人。潜在投标人从“清河县公共资源交易网 / ”网站上自主下载招标文件等相关资料 / 并及时查看有无澄清或修改。如对招标文件有疑问或异议的 / 请向项目单位或招标代理机构提出。潜在投标人未从“ / 中国河北政府采购网 / ”“清河县公共资源交易网 / ”网站上下载相关资料 / 或未获取完整资料 / 导致投标被否决的 / 自行承担责任。招标文件的澄清 / 修改 / 补充等内容均以公告形式明确的内容为准。当招标文件 / 招标文件的澄清 / 修改 / 补充等在同一内容的表述上不一致时 / 以最后发出的公告文件为准。,清河县人民医院,清河县长江西街37号,4,项目为临床试验机构服务，非设备采购，与施耐德核心业务直接关联度低。,河北省邢台市清河县,服务,中等(100-500万),无,临床试验机构可能涉及实验室或数据中心的配电、楼宇控制需求。,了解机构建设细节，关注其配套实验室或数据中心的电气需求。
【平公资采2026230号】郏县妇幼保健院2026年第一季度医疗器械采购项目（包1）-中标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260410_26387285.htm,郏采,郏县妇幼保健院2026年第一季度医疗器械采购项目,,,,王先生,0375-5152805监督单位：郏县卫生健康委员会 / 统一社会信用代码：114104250054922277 / 联系方式：0375-7068010,郏县妇幼保健院,郏县行政路,4,项目为医疗器械采购，但未明确涉及电气或基础设施，机会不明确。,河南省平顶山市郏县,设备采购,未知,医疗器械（具体未列明）,无明确切入点,联系采购人了解具体设备清单，评估是否有配套电气需求。
【平公资采2026230号】郏县妇幼保健院2026年第一季度医疗器械采购项目（包2）-中标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260410_26387267.htm,郏采,郏县妇幼保健院2026年第一季度医疗器械采购项目,,,,王先生,0375-5152805监督单位：郏县卫生健康委员会 / 统一社会信用代码：114104250054922277 / 联系方式：0375-7068010,郏县妇幼保健院,郏县行政路,4,公告为医疗器械采购，但未明确具体设备类型，可能与施耐德电气产品直接相关度不高。,河南省平顶山市郏县,设备采购,未知,医疗器械（具体类型未知）,若采购大型医疗影像、检验或手术设备，可配套提供相关配电或电源解决方案。,联系采购人，了解具体采购设备清单，评估是否有配套电气需求。
三都水族自治县人民医院关于三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目C包二次的公开招标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26385283.htm,GZWS-2025-6055-01,三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目C包二次,¥776.76 万元,标项名称: 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目C包二次 数量: 不限 预算金额（元）: 7767615.75 简要规格描述或项目基本概况介绍、用途： 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购C包二次，具体详见《采购文件》。 备注： 合同履约期限： 标项 1，1年。 本项目（ 否 ）接受联合体投标。,2026年04月30日 09:30,彭燕燕、唐昊、杨奇爽,15608540885,三都水族自治县人民医院,三都县三合街道,4,项目为医用耗材和医疗器械采购，未明确涉及施耐德电气的核心业务领域。,贵州省黔南布依族苗族自治州三都水族自治县,耗材采购,大额(>500万),无,无,可关注采购文件细节，确认是否有配套电气或楼宇控制需求。
山东省妇幼保健院2026年医疗器械、手术敷料、医用织物代洗涤、消毒、灭菌及供应服务项目(3)公开招标公告,2026.04.11,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260411_26391301.htm,,山东省妇幼保健院2026年医疗器械、手术敷料、医用织物代洗涤、消毒、灭菌及供应服务项目(3),¥500.00 万元,,2026年05月07日09时00分,杨学安、洪坤、贾振、侯同旦、孙涛、徐艳,13386406562,山东省妇幼保健院,济南市浆水泉路9-7号(山东省妇幼保健院),4,项目为医用织物洗涤消毒服务，不涉及电气设备或系统采购。,山东省济南市,服务,中等(100-500万),无,无明确直接机会,可关注医院未来基建或设备采购项目，建立联系。
吴忠市人民医院2025年第二批医疗器械设备更新补充采购项目四标段（四次）中标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260410_26388252.htm,NXWF-2025-104,吴忠市人民医院2025年第二批医疗器械设备更新补充采购项目四标段（四次）,,,,张信业,9532120233,吴忠市人民医院,吴忠市利通区新民路 143 号,4,公告为医疗器械设备采购，但未明确具体设备类型，与施耐德电气核心业务关联度不明确。,宁夏回族自治区吴忠市,设备采购,未知,无,若采购大型医疗影像或实验室设备，可能涉及配套的配电、UPS或楼宇控制系统。,联系项目联系人，核实具体采购设备清单，寻找电气配套机会。
游仙高新技术产业园区管理委员会聚合物新材料、放射治疗医疗器械产业专利导航竞争性磋商公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202604/t20260410_26387714.htm,N5107042026000024,聚合物新材料、放射治疗医疗器械产业专利导航,¥30.00 万元,详见采购需求附件,,何老师,0816-2308726,游仙高新技术产业园区管理委员会,四川省绵阳市游仙经济开发区凯越路1号,4,项目为产业专利导航服务采购，非设备或基建，与施耐德电气核心业务直接关联度低。,四川省绵阳市,服务,小额(<100万),无,无直接机会。可关注园区后续产业落地可能带来的基建或设备需求。,无需直接跟进。可记录园区信息，关注其未来产业项目动态。
清河县人民医院清河县人民医院国家药物和医疗器械临床试验机构服务项目二次公开招标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26387473.htm,2026CK-012,清河县人民医院国家药物和医疗器械临床试验机构服务项目,¥78.00 万元,国家药物和医疗器械临床试验机构服务，具体内容详见招标文件第四部分采购需求,2026年05月07日 09点00分（北京时间）,陈利、贾凯,0319-2686159。6.招标文件等资料发布后 / 即视为已送达所有潜在投标人。潜在投标人从“清河县公共资源交易网 / ”网站上自主下载招标文件等相关资料 / 并及时查看有无澄清或修改。如对招标文件有疑问或异议的 / 请向项目单位或招标代理机构提出。潜在投标人未从“ / 中国河北政府采购网 / ”“清河县公共资源交易网 / ”网站上下载相关资料 / 或未获取完整资料 / 导致投标被否决的 / 自行承担责任。招标文件的澄清 / 修改 / 补充等内容均以公告形式明确的内容为准。当招标文件 / 招标文件的澄清 / 修改 / 补充等在同一内容的表述上不一致时 / 以最后发出的公告文件为准。,清河县人民医院,清河县长江西街37号,4,项目为临床试验机构服务，非设备采购，与施耐德核心业务直接关联度低。,河北省邢台市清河县,服务,中等(100-500万),无,临床试验机构建设可能涉及实验室环境控制或电力保障，但机会不明确。,可尝试联系采购人，了解服务项目中是否包含相关设施建设或改造需求。
【平公资采2026230号】郏县妇幼保健院2026年第一季度医疗器械采购项目（包1）-中标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260410_26387285.htm,郏采,郏县妇幼保健院2026年第一季度医疗器械采购项目,,,,王先生,0375-5152805监督单位：郏县卫生健康委员会 / 统一社会信用代码：114104250054922277 / 联系方式：0375-7068010,郏县妇幼保健院,郏县行政路,4,项目为医疗器械采购，但未明确具体设备类型，可能与施耐德产品直接相关度不高。,河南省平顶山市郏县,设备采购,未知,无,若采购大型医疗设备或涉及医院设施改造，可提供配套的配电、楼宇控制或关键电源解决方案。,联系采购人，了解具体采购设备清单，评估是否有电气配套需求。
【平公资采2026230号】郏县妇幼保健院2026年第一季度医疗器械采购项目（包2）-中标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260410_26387267.htm,郏采,郏县妇幼保健院2026年第一季度医疗器械采购项目,,,,王先生,0375-5152805监督单位：郏县卫生健康委员会 / 统一社会信用代码：114104250054922277 / 联系方式：0375-7068010,郏县妇幼保健院,郏县行政路,4,公告为医疗器械采购，但未明确具体设备类型，可能与施耐德产品直接关联度不高。,河南省平顶山市郏县,设备采购,未知,无,若采购大型医疗设备或涉及医院设施改造，可提供配套的配电、楼宇控制或UPS解决方案。,联系项目联系人，了解采购设备详情，判断是否有电气配套需求。
三都水族自治县人民医院关于三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目C包二次的公开招标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26385283.htm,GZWS-2025-6055-01,三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目C包二次,¥776.76 万元,标项名称: 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目C包二次 数量: 不限 预算金额（元）: 7767615.75 简要规格描述或项目基本概况介绍、用途： 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购C包二次，具体详见《采购文件》。 备注： 合同履约期限： 标项 1，1年。 本项目（ 否 ）接受联合体投标。,2026年04月30日 09:30,彭燕燕、唐昊、杨奇爽,15608540885,三都水族自治县人民医院,三都县三合街道,4,项目为医用耗材和医疗器械采购，未明确提及电气或自动化设备，机会不明确。,贵州省黔南布依族苗族自治州三都水族自治县,耗材采购,大额(>500万),无,无,可联系采购人，了解是否有配套的配电或楼宇控制需求。
药品、医疗器械、化妆品市级监督抽验经费项目（二次）废标公告,2026.04.15,http://www.ccgp.gov.cn/cggg/dfgg/fblbgg/202604/t20260415_26409976.htm,11000026210200163815-XM001,药品、医疗器械、化妆品市级监督抽验经费项目,,,,魏新卓,17600173064,北京市药品监督管理局机关,北京市通州区留庄路6号院2号楼,3,项目为政府监督抽验经费，非设备采购或基建项目，与施耐德业务无直接关联。,北京市,服务,未知,无,无直接机会。,无需跟进，关注其他设备采购或基建类项目。
黑龙江省工业和信息化厅2026年黑龙江省支持新药和高端医疗器械研发创新5项奖励政策评审竞争性磋商公告,2026.04.13,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202604/t20260413_26396460.htm,[230001]hljsqy[CS]20260002,2026年黑龙江省支持新药和高端医疗器械研发创新5项奖励政策评审,¥27.00 万元,"合同包1(2026年黑龙江省支持新药和高端医疗器械研发创新5项奖励政策评审): 合同包预算金额： 270,000.00元 合同包最高限价： 270,000.00元 品目号 品目名称 采购标的 数量（单位） 技术规格、参数及要求 品目预算(元)",,黑龙江省启越项目咨询集团有限公司,0451-84839700,黑龙江省工业和信息化厅,香坊区和平路68号,3,项目为政策评审服务采购，不涉及任何设备、系统或工程建设，与施耐德业务无关。,黑龙江省,服务,小额(<100万),无,无,无需跟进，与公司业务无直接关联。
浙江木石建设项目管理咨询有限公司关于企业特种设备安全保障及“三小”经营使用药品（含医疗器械、化妆品）安全问题专项治理工作社会化服务的更正公告,2026.04.11,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202604/t20260411_26392842.htm,330110265190120000021--MS2026005,企业特种设备安全保障及“三小”经营使用药品（含医疗器械、化妆品）安全问题专项治理工作社会化服务,,,,陈清清,0571-89516936,杭州市余杭区瓶窑镇人民政府,杭州市余杭区前程路28号,3,项目为药品安全治理的社会化服务，不涉及设备采购或电气系统，与施耐德业务无直接关联。,浙江省杭州市,服务,未知,无,无,无需跟进，业务完全不匹配。
天津市中医药研究院附属医院 天津市中医药研究院附属医院复用医疗器械清洗、消毒、灭菌服务项目 (项目编号:TGPC-2026-D-0188)中标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260410_26390405.htm,TGPC-2026-D-0188,天津市中医药研究院附属医院复用医疗器械清洗、消毒、灭菌服务项目,,,,李娟,022-24538225,天津市中医药研究院附属医院,天津市红桥区北马路354号,3,项目为医疗器械清洗消毒灭菌服务外包，不涉及设备采购或电气系统。,天津市,服务,未知,无,无直接机会。可关注医院未来相关设备采购或基建项目。,记录信息，关注该医院后续可能涉及电气或设备的采购项目。
西安市第一医院医疗器械计量器具计量检定服务竞争性磋商公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202604/t20260410_26386714.htm,【KRDL】K5-2603026,医疗器械计量器具计量检定服务,¥50.00 万元,详见采购需求附件,,姚瑶、王森、张怡凡、王昭、刘昆、张晨、代光艳、靳祥德、成荔、彭明杨、王莉,029-96702,西安市第一医院,通过陕西省政府采购网（www.ccgp-shaanxi.gov.cn）首页供应商用户登录，供应商应当按照以下要求进行系统操作。,3,项目为计量检定服务，不涉及设备采购或电气系统，与施耐德核心业务无关。,陕西省西安市,服务,中等(100-500万),无,无直接机会。,无需跟进，建议关注其他设备采购或基建项目。
